id,calling_code
1,86
2,886
3,852
4,853
5,60
6,65
7,81
8,82
9,1
10,1
11,61
12,64
13,355
14,213
15,93
16,54
17,971
18,297
19,968
20,994
21,20
22,251
23,353
24,372
25,376
26,244
27,1
28,1
29,43
30,1
31,675
32,1
33,92
34,595
35,970
36,973
37,507
38,55
39,375
40,1
41,359
42,229
43,32
44,354
45,1
46,48
47,387
48,591
49,501
50,267
51,975
52,226
53,257
54,850
55,240
56,45
57,49
58,670
59,228
60,1
61,1
62,7
63,593
64,291
65,33
66,298
67,689
68,594
69,63
70,679
71,358
72,238
73,220
74,242
75,243
76,57
77,506
78,1
79,299
80,995
81,53
82,590
83,1
84,592
85,7
86,509
87,31
88,599
89,382
90,504
91,253
92,996
93,224
94,245
95,233
96,241
97,855
98,420
99,263
100,237
101,974
102,1
103,269
104,965
105,385
106,254
107,682
108,371
109,266
110,856
111,961
112,370
113,231
114,218
115,423
116,262
117,352
118,250
119,40
120,261
121,960
122,356
123,265
124,223
125,389
126,596
127,230
128,222
129,976
130,1
131,880
132,51
133,373
134,212
135,377
136,258
137,52
138,264
139,27
140,211
141,977
142,505
143,227
144,234
145,47
146,351
147,46
148,41
149,503
150,685
151,381
152,232
153,221
154,357
155,248
156,966
157,239
158,1
159,1
160,378
161,508
162,1
163,94
164,421
165,386
166,268
167,249
168,597
169,252
170,992
171,66
172,255
173,676
174,1
175,1
176,216
177,90
178,993
179,678
180,502
181,58
182,673
183,256
184,380
185,598
186,998
187,34
188,30
189,225
190,687
191,36
192,963
193,1
194,374
195,967
196,964
197,98
198,972
199,39
200,91
201,62
202,44
203,1
204,962
205,84
206,260
207,44
208,235
209,350
210,56
211,236
212,383
